Категории|||Аристотель
Метафизика|||Аристотель
Государство|||Платон
Пир|||Платон
«Игра престолов»/«A Game of Thrones»|||Джордж Рэймонд Ричард Мартин
«A Clash of Kings» / «Битва королей»|||Джордж Рэймонд Ричард Мартин
«A Storm of Swords» / «Буря мечей»|||Джордж Рэймонд Ричард Мартин
«A Feast for Crows» / «Пир стервятников»|||Джордж Рэймонд Ричард Мартин
«A Dance with Dragons» / «Танец с драконами»|||Джордж Рэймонд Ричард Мартин
Code Complete: A Practical Handbook of Software Construction, Second Edition|||Steve McConnell
djangobook
Learning Python, 4th Edition |||Mark Lutz
The Pragmatic Programmer: From Journeyman to Master [|||Andrew Hunt|||David Thomas
Design Patterns: Elements of Reusable Object-Oriented Software|||Erich Gamma|||Richard Helm|||Ralph Johnson|||John Vlissides
Князь Света (1967)|||Желязны, Роджер
Долина проклятий (1969)|||Желязны, Роджер
Остров Мёртвых (1969)|||Желязны, Роджер
Умереть в Италбаре (1973)|||Желязны, Роджер
Создания света, Создания тьмы (1969)|||Желязны, Роджер
Книга Кладбищ|||Нил Гейман
Добрые Предзнаменования/Good Omens|||Нил Гейман|||Терри Пратчетт
«Дверь в лето» (англ. The Door into Summer)|||Роберт Хайнлайн/Robert Anson Heinlein
Starman Jones|||Роберт Хайнлайн/Robert Anson Heinlein
Have Space Suit—Will Travel|||Роберт Хайнлайн/Robert Anson Heinlein
Methuselah’s Children|||Роберт Хайнлайн/Robert Anson Heinlein
Stranger in a Strange Land|||Роберт Хайнлайн/Robert Anson Heinlein
The Number of the Beast|||Роберт Хайнлайн/Robert Anson Heinlein
